Name,Type,Episodes,Studio,Tags,Rating,Release_year
Assassination Classroom 2nd Season,TV,25.0,Lerche,"Action, Comedy, Sci Fi, Shounen, Assassins, Non-Human Protagonists, Overpowered Main Characters, Parody, School Life, Teaching, Based on a Manga",4.4,2016.0
Natsume's Book of Friends Season 5,TV,11.0,Shuka,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.4,2016.0
My Hero Academia 3,TV,25.0,Bones,"Action, Comedy, Drama, Sci Fi, Shounen, Superheroes, Superpowers, Based on a Manga, Violence",4.4,2018.0
Violet Evergarden,TV,13.0,Kyoto Animation,"Drama, Lifestyle Change, Melancholy, War, Based on a Light Novel, Violence",4.39,2018.0
That Time I Got Reincarnated as a Slime,TV,24.0,8-Bit,"Action, Adventure, Comedy, Fantasy, Shounen, Cheats, Demons, Isekai, Kingdom Building, Magic, Management, Modern Knowledge, Monsters, Non-Human Protagonists, Overpowered Main Characters, Person in a Strange World, Political, Reincarnation, RPG, Slimes, Based on a Manga, Violence",4.39,2018.0
My Hero Academia 2,TV,25.0,Bones,"Action, Comedy, Drama, Sci Fi, Shounen, School Life, Superheroes, Superpowers, Tournaments, Weak to Strong, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Violence,, Domestic Abuse",4.39,2017.0
Wolf Children,Movie,,Studio Chizu,"Fantasy, Slice of Life, Animal Characteristics, Animal Transformation, Childcare, Coming of Age, Contemporary Fantasy, Countryside, Death of a Loved One, Family Life, Lifestyle Change, Single Parent, Werewolves, Original Work, Nudity",4.39,2012.0
SK8 the Infinity,TV,12.0,Bones,"Comedy, Sports, Racing, Original Work, Emotional Abuse,, Mature Themes,, Physical Abuse,, Domestic Abuse",4.38,2021.0
Hajime no Ippo: The Fighting!,TV,75.0,MADHOUSE,"Action, Drama, Shounen, Sports, Boxing, Hand to Hand Combat, Weak to Strong, Based on a Manga",4.38,2000.0
Code Geass: Lelouch of the Rebellion,TV,25.0,Sunrise,"Mecha, Sci Fi, Conspiracy, Mind Games, Overpowered Main Characters, Political, Psychological, Real Robot, Rebellions, Revenge, Rivalries, Royalty, Secret Identity, Superpowers, Terrorism, Original Work, Nudity,, Violence",4.38,2006.0
JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt,TV,24.0,David Production,"Action, Adventure, Comedy, Shounen, Monster-of-the-week, Proxy Battles, Supernatural, Based on a Manga, Animal Abuse,, Explicit Violence,, Mature Themes",4.37,2015.0
Yona of the Dawn: Zeno Arc,OVA,2.0,Pierrot,"Action, Adventure, Drama, Fantasy, Romance, Shoujo, Death of a Loved One, Orphans, Political, Royalty, Based on a Manga, Violence",4.37,2016.0
JoJo's Bizarre Adventure: Diamond is Unbreakable,TV,39.0,David Production,"Action, Mystery, Shounen, Proxy Battles, Supernatural, Based on a Manga, Animal Abuse,, Mature Themes,, Violence",4.37,2016.0
Kamisama Kiss: Kako-hen,OVA,4.0,TMS Entertainment,"Comedy, Romance, Shoujo, Animal Characteristics, Interspecies Relationship, Japanese Mythology, Master-Servant Relationship, Non-Human Protagonists, Based on a Manga",4.37,2015.0
Hajime no Ippo: New Challenger,TV,26.0,MADHOUSE,"Action, Drama, Shounen, Sports, Boxing, Hand to Hand Combat, Tournaments, Based on a Manga",4.37,2009.0
Mushishi Zoku Shou 2nd Season,TV,10.0,Artland,"Fantasy, Seinen, Episodic, Iyashikei, Supernatural, Based on a Manga",4.37,2014.0
Attack on Titan,TV,25.0,WIT Studio,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Death of a Loved One, Isolated Society, Military, Outside World, Overpowered Main Characters, Post-apocalyptic, Revenge, Based on a Manga, Cannibalism,, Explicit Violence,, Mature Themes,, Suicide",4.37,2013.0
Haikyuu!! Tokushuu! Harukou Volley ni Kaketa Seishun,OVA,1.0,Production I.G,"Shounen, Sports, Recap, Volleyball, Based on a Manga",4.37,2017.0
Kaguya-sama: Love Is War?,TV,12.0,A-1 Pictures,"Comedy, Drama, Romance, Seinen, Episodic, Love Confession, Mind Games, School Life, Student Council, Based on a Manga",4.37,2020.0
Gintama: Porori-hen,TV,13.0,BN Pictures,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Samurai, Slapstick, Swordplay, Based on a Manga",4.36,2017.0
March Comes in like a Lion 2nd Season,TV,22.0,SHAFT,"Drama, Seinen, Slice of Life, Board Games, Melancholy, Orphans, Psychological, Based on a Manga, Bullying,, Emotional Abuse",4.36,2017.0
Natsume's Book of Friends Season 3,TV,13.0,Brain's Base,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.36,2011.0
Attack on Titan 2nd Season,TV,12.0,WIT Studio,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Isolated Society, Military, Outside World, Overpowered Main Characters, Post-apocalyptic, Based on a Manga, Cannibalism,, Explicit Violence",4.36,2017.0
I Want to Eat Your Pancreas,Movie,,Studio VOLN,"Drama, Romance, Seinen, Coming of Age, Illness, Opposites Attract, School Life, Based on a Novel",4.36,2018.0
Rascal Does Not Dream of a Dreaming Girl,Movie,,CloverWorks,"Drama, Romance, Illness, Senpai-Kouhai Relationship, Supernatural, Time Travel, Based on a Light Novel",4.36,2019.0
Given Movie,Movie,,Lerche,"BL, Drama, Romance, Shounen-ai, Adult Couples, Codependency, Love Triangle, Mature Romance, Music, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Sexual Abuse,, Sexual Content",4.36,2020.0
Mushishi Zoku Shou,TV,10.0,Artland,"Fantasy, Seinen, Episodic, Iyashikei, Supernatural, Based on a Manga",4.36,2014.0
Princess Mononoke,Movie,,Studio Ghibli,"Action, Adventure, Fantasy, Curse, Environmental, Feudal Japan, Forest, Japanese Mythology, Royalty, Original Work",4.36,1997.0
